,apical,cell_soma_location,dendrite_type,disease_state,specimen_id,name,reconstruction_type,reporter_status,species,structure_area_abbrev,structure_area_id,structure_layer_name,transgenic_line,average_bifurcation_angle_local,average_bifurcation_angle_remote,average_contraction,average_diameter,average_fragmentation,average_parent_daughter_ratio,hausdorff_dimension,id,max_branch_order,max_path_distance,neuron_reconstruction_type,number_bifurcations,number_branches,number_nodes,number_stems,number_tips,overall_depth,overall_height,overall_width,scale_factor_x,scale_factor_y,scale_factor_z,soma_surface,superseded,tags,total_length,total_surface,total_volume
0,intact,"[273.0, 354.0, 216.0]",spiny,epilepsy,525011903,H16.03.003.01.14.02,,,Homo Sapiens,FroL,12113,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,NA,"[8966.56330957526, 1429.52689052075, 8567.389672505]",aspiny,,565871768,Oxtr-2A-Cre;Ai14-293837.03.01.02,,positive,Mus musculus,VISp,385,5,Oxtr-T2A-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,NA,"[7872.53138541818, 993.212032389272, 3127.15304714108]",aspiny,,469801138,Pvalb-IRES-Cre;Ai14-170927.05.02.01,,positive,Mus musculus,VISp,385,4,Pvalb-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,NA,"[69.0, 254.0, 96.0]",aspiny,epilepsy,528642047,H16.06.009.01.02.06.05,,,Homo Sapiens,MTG,12141,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,NA,"[9400.0, 1520.74232706376, 2188.13845194139]",aspiny,,605889373,Vipr2-IRES2-Cre;Slc32a1-T2A-FlpO;Ai65-337419.03.02.01,,positive,Mus musculus,VISp,385,2/3,Slc32a1-T2A-FlpO|Vipr2-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,truncated,"[322.0, 255.0, 92.0]",spiny,epilepsy,537256313,H16.03.006.01.05.02,,,Homo Sapiens,MTG,12141,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,intact,"[8881.0, 953.839501299405, 7768.22695782726]",spiny,,485909730,Cux2-CreERT2;Ai14-205530.03.02.01,dendrite-only,positive,Mus musculus,VISp,385,5,Cux2-CreERT2,65.8895010514347,,0.891127894162828,0.388753256220719,50.97222222222221,0.844376941289302,,500961528.0,6.0,504.238311017079,dendrite-only,18.0,43.0,1910.0,7.0,25.0,100.5354,561.344690930773,215.59200440090302,0.1144,0.1144,0.28,245.60651214867298,False,3D Neuron Reconstruction morphology,2295.96496541343,2791.6911145784197,308.451081279415
7,intact,"[8125.0, 904.841803028986, 7819.69986630448]",spiny,,323865917,Scnn1a-Tg3-Cre;Ai14-172530.06.01.01,dendrite-only,positive,Mus musculus,VISp,385,5,Scnn1a-Tg3-Cre,62.293883006753,,0.8767203343516329,0.6483561509141711,43.3529411764706,0.8832488792818609,,492413272.0,8.0,583.881940106166,dendrite-only,35.0,76.0,3004.0,6.0,41.0,72.3976,617.333004320437,254.722210224279,0.1144,0.1144,0.28,587.267053200988,False,3D Neuron Reconstruction morphology,3472.9284244274895,7086.903748270551,1324.5378198912
8,NA,"[8294.0, 828.8846152563, 3320.65602051487]",aspiny,,583836069,Htr3a-Cre_NO152;Ai14-314135.05.02.02,,positive,Mus musculus,VISp,385,2/3,Htr3a-Cre_NO152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,intact,"[9022.31795341815, 1034.01756171273, 3750.09609106139]",spiny,,504615116,Rorb-IRES2-Cre-D;Ai14-234241.04.02.01,,positive,Mus musculus,VISp,385,5,Rorb-IRES2-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,truncated,"[9226.81555310021, 2289.94455323552, 9055.32772884261]",spiny,,558076716,Ctgf-2A-dgCre;Ai14(IVSCC)-280859.04.01.01,,positive,Mus musculus,VISl,409,6a,Ctgf-T2A-dgCre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,intact,"[8711.26681152, 1417.44904628, 8895.04077315]",spiny,,476135066,Scnn1a-Tg3-Cre;Ai14-187849.06.01.01,dendrite-only,positive,Mus musculus,VISp,385,4,Scnn1a-Tg3-Cre,75.9716578731749,,0.922705868334515,0.342586271153858,40.911111111111104,0.806499196930875,,512328420.0,12.0,517.425492169676,dendrite-only,45.0,98.0,3773.0,8.0,53.0,49.8007,609.115495832077,238.102451712637,0.1144,0.1144,0.28,376.275831198849,False,3D Neuron Reconstruction morphology,4343.3412184935605,4704.76819473911,486.61013508823197
12,intact,"[9918.74841340251, 2116.91601361369, 2202.77186959471]",spiny,,502614426,Rorb-IRES2-Cre-D;Ai14-230822.04.02.01,dendrite-only,positive,Mus musculus,VISpl,425,4,Rorb-IRES2-Cre,68.2135171581559,,0.851588490256285,0.341400343436366,52.925925925925895,0.787984448682699,,519262717.0,8.0,489.095197751951,dendrite-only,27.0,62.0,3223.0,8.0,35.0,94.5748,551.622965645831,286.17706867797995,0.1144,0.1144,0.28,87.5380614398073,False,3D Neuron Reconstruction morphology,3711.7195468658897,3997.06587444501,382.927444486036
13,truncated,"[79.0, 273.0, 91.0]",spiny,epilepsy,519832676,H16.03.001.01.09.01,full,,Homo Sapiens,MTG,12141,3,,74.84659681558591,,0.915422660611908,0.6191084280364251,64.1176470588235,0.9906684255929481,,667320016.0,10.0,543.825428052701,full,51.0,109.0,6673.0,7.0,58.0,122.5972,693.108034978022,616.2195477454541,0.1144,0.1144,0.28,492.022912703051,False,3D Neuron Reconstruction morphology,8037.001174814459,15704.5159389535,2673.36123338992
14,NA,"[9007.42136162164, 865.328132411052, 8068.80299257165]",aspiny,,581020172,Nkx2-1-CreERT2;Ai14 (IVSCC)-311666.03.01.01,,positive,Mus musculus,VISp,385,2/3,Nkx2-1-CreERT2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,NA,"[8571.43849871717, 1520.33945775248, 2537.00682733199]",aspiny,,481127932,Pvalb-IRES-Cre;Ai14-199002.06.02.01,,positive,Mus musculus,VISp,385,5,Pvalb-IRES-Cre,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,intact,"[8190.00000000001, 965.345563571091, 8156.98088204066]",spiny,,480087928,Rorb-IRES2-Cre-D;Ai14-197330.06.01.01,dendrite-only,positive,Mus musculus,VISp,385,4,Rorb-IRES2-Cre,74.07818343015191,,0.8990427354402,0.336623457254487,37.6,0.8778533505840971,,491770970.0,6.0,441.79491261057603,dendrite-only,21.0,46.0,1575.0,4.0,25.0,48.9418,460.12996045812105,188.09591032816502,0.1144,0.1144,0.28,196.88400436319301,False,3D Neuron Reconstruction morphology,1859.4654160816601,1967.24701426165,177.786110181412
17,NA,"[9296.54582374889, 1524.44950303415, 9140.85922196214]",aspiny,,522257166,Htr3a-Cre_NO152;Ai14-249978.03.01.01,,positive,Mus musculus,VISp,385,2/3,Htr3a-Cre_NO152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,NA,"[8915.7100716551, 1379.3861586334, 2571.48810778752]",aspiny,,327970859,Htr3a-Cre_NO152;Ai14-175482.05.02.01,,positive,Mus musculus,VISp,385,4,Htr3a-Cre_NO152,,,,,,,,,,,,,,,,,,,,,,,,,,,,
